,close,date,high,low,open,quoteVolume,volume,weightedAverage
9649,8019.34662648,1523901900,8043.9188347,8019.34662648,8031.61716475,8.14240212,65391.47440749,8030.98071598
9650,8016.37504972,1523902200,8043.41075046,8015.39186832,8030,1.50607336,12092.45323819,8029.12630908
9651,8017.22681688,1523902500,8042.42924136,8007.38269001,8017.15868641,3.8488264,30876.51725069,8022.32006377
9652,8009.01700836,1523902800,8029.59028114,8007.38269012,8026.01800037,3.93914945,31571.12847135,8014.70694932
9653,8000.84103925,1523903100,8010,8000.00000001,8010,1.87612123,15012.28319121,8001.76606456
9654,8024.89905296,1523903400,8024.91606131,8000.84103925,8010,0.90979025,7287.80515797,8010.42345526
9655,8020.05201708,1523903700,8049.99999999,8010.84103926,8010.84103926,4.4243565,35558.3785589,8036.96052949
9656,8034.54586244,1523904000,8043.94318076,8016.65283702,8030.01800037,1.99949966,16055.8634514,8029.94057593
9657,8024.79707943,1523904300,8039.71184431,8016.78890386,8023.76287028,1.53849945,12354.78944831,8030.41525189
9658,8024.79707432,1523904600,8024.79707943,8011.72003744,8016.80600833,0.59660946,4787.2404726,8024.07737987
9659,8014.79707861,1523904900,8024.79707925,8012.21337615,8024.79707925,0.9310523,7465.62642207,8018.48233667
9660,8012.5537388,1523905200,8024.79707886,8012.485705,8014.79707861,1.6706449,13387.55947259,8013.40815908
9661,8012.58756528,1523905500,8023.91495823,8012.58756528,8023.7618831,1.43810123,11524.92548921,8013.98764481
9662,8035.69073566,1523905800,8035.87782903,8012.41757594,8012.58756528,4.8349617,38802.81875931,8025.46559144
9663,8043.9319658,1523906100,8043.9319658,8033.68961539,8035.70774417,0.70757758,5687.64001817,8038.1857466
9664,8044,1523906400,8044,8043.99999935,8043.99999935,0.49493962,3981.29430321,8043.99999987
9665,8034.74471701,1523906700,8049.99999415,8034.08090371,8043.99999999,2.57351042,20714.62681625,8049.17153444
9666,8025.00000001,1523907000,8049.5999995,8025.00000001,8034.89779462,1.2760139,10252.63655213,8034.89409647
9667,8020,1523907300,8034.9659831,8011.9415301,8025,2.71312051,21778.93951037,8027.26581075
9668,8025.98398315,1523907600,8032.9861444,8012.92210434,8020,3.28417471,26319.76181793,8014.11743954
9669,8016.04586229,1523907900,8025.98398367,8009.0001,8025.98398345,0.94446048,7569.44294748,8014.56821939
9670,8004.27223116,1523908200,8023.371075,8004.00000001,8023.371075,0.79651913,6380.3260492,8010.26090761
9671,7973.49698353,1523908500,8008.8288541,7970.76223325,8004.30624819,11.16264642,89105.45544353,7982.4668892
9672,7959.50515253,1523908800,7990,7959.50515253,7973.49698353,14.3737035,114740.39330748,7982.66037055
9673,7959,1523909100,7974.17678687,7959,7959.50515253,2.06656255,16450.43134194,7960.28716476
9674,7960.50205152,1523909400,7960.50205152,7940.66,7959,2.89476176,23001.77570214,7945.99957066
9675,7969.9319666,1523909700,7979.50515253,7960,7960,2.24113295,17862.85809049,7970.45891029
9676,7975.10224245,1523910000,7982.94897495,7969.9319666,7979.42010886,4.04089975,32239.25315277,7978.23632045
9677,7977.54532632,1523910300,7983.05112174,7975.10214624,7982.94897495,2.9770308,23761.78628632,7981.70656693
9678,7978.05112174,1523910600,7983.05112174,7977.54532632,7977.54532632,0.50734063,4048.35198811,7979.55406827
9679,7983.05112174,1523910900,7983.05112174,7978.05112174,7980,1.93526235,15444.82378763,7980.73903914
9680,7983.05112174,1523911200,7983.05112174,7983,7983.01700883,2.02742948,16185.07053498,7983.04981487
9681,7978.05112174,1523911500,7983.05112174,7978.05112174,7983.05112174,4.96404362,39608.15595895,7979.0104582
9682,7986.95112155,1523911800,7986.95112155,7977.93123798,7982.31879862,2.34708874,18729.97059723,7980.08625665
9683,7977.93123798,1523912100,7988.6007948,7977.93123798,7986.95112155,1.29441211,10333.43964257,7983.11415873
9684,7999.79584648,1523912400,8000,7977.93123798,7977.99336842,1.46708606,11713.93942722,7984.49371621
9685,8005,1523912700,8015.29299121,7995.43592595,7995.43592595,1.95799486,15678.24803131,8007.29784924
9686,8000,1523913000,8005,8000,8000.08523379,1.8357625,14688.63524879,8001.38103311
9687,8013.49973698,1523913300,8013.56777038,8000,8004.3018879,0.41045381,3285.37707419,8004.25527586
9688,8002.39775716,1523913600,8015.51438445,8002.39775715,8005.0340167,0.25324399,2028.20776658,8008.90779909
9689,8015.3608292,1523913900,8015.3608292,8002.39775715,8002.39775715,0.8001028,6408.39684164,8009.46683556
9690,8013,1523914200,8015.5313928,8002.70409996,8014.6952907,0.14403695,1153.31329345,8007.06550268
9691,8026.04411156,1523914500,8033.72895494,8013,8022.98299165,1.44346374,11582.84866898,8024.34335412
9692,8028,1523914800,8032.94523589,8022.84654077,8025.64689532,2.23279932,17924.04613104,8027.61178333
9693,8018.96598329,1523915100,8032.94523505,8009.07,8032.94523505,4.19074512,33630.07765053,8024.84443399
9694,8000,1523915400,8018.98299165,8000,8018,0.20646045,1654.33370713,8012.83590698
9695,8009,1523915700,8009,7990,8000.98299165,1.42856209,11419.76627116,7993.88864586
9696,8020,1523916000,8029.9659833,8008.82928419,8008.82928419,1.07228644,8601.78366153,8021.90845716
9697,8019.98299165,1523916300,8029.91495824,8019.98299165,8019.98299165,0.48932469,3924.48540861,8020.20721378
9698,8009.60330796,1523916600,8021,8001.03097769,8020.98299165,2.8335135,22703.47619272,8012.48209783
9699,7967.08048592,1523916900,8015,7967.06347739,8015,2.62462866,20978.09691728,7992.78665092
9700,7985.52871851,1523917200,8003.04785402,7960.74729401,7967.09759032,1.89451061,15119.62387501,7980.75439388
9701,7996.28394478,1523917500,8009.26706265,7987.24582291,8006.94795004,0.80822226,6465.4892252,7999.64260475
9702,8002.01700835,1523917800,8004.98299163,7987.2798401,7987.2798401,1.2618832,10095.41057457,8000.27338074
9703,8000,1523918100,8002.0680334,7987.80757953,8000,0.81418668,6513.98678695,8000.60593837
9704,8009.26706266,1523918400,8018.72943561,7991.7543118,7991.7543118,0.78989051,6322.8994676,8004.77963407
9705,8022.1,1523918700,8022.1221,8000.9316785,8000.9316785,6.61778864,53055.41322987,8017.09092206
9706,8022.07999973,1523919000,8022.07999973,8000.86364507,8005.42873303,0.1725057,1380.63136154,8003.39560687
9707,8001.94572674,1523919300,8022.07999973,8000.84663671,8022.07999951,4.71763848,37753.49941681,8002.62664824
9708,8065.49827212,1523919600,8074,8001.94572675,8001.94572675,19.90527781,160012.64982212,8038.70467669
9709,8058,1523919900,8065.07525792,8046.98289533,8049.17008491,1.47783055,11900.43406965,8052.63774635
9710,8046.76140296,1523920200,8058.00000001,8028.66641781,8058,1.33017369,10690.97628459,8037.27841331
9711,8045.98299164,1523920500,8046.94887893,8034.98377289,8045.94887892,2.03594239,16376.69200933,8043.78949511
9712,8045.5,1523920800,8045.5,8034.74207563,8035.57964554,2.27354728,18288.02783405,8043.83000737
9713,8031.53058757,1523921100,8073.98289563,8031.39423066,8037.13606716,5.42826138,43731.7532439,8056.30941152
9714,8031.76561214,1523921400,8040,8031.54769208,8040,3.51735926,28262.37630908,8035.11220206
9715,8048.16814404,1523921700,8050.49409703,8031.7826205,8040,0.48086891,3868.72129506,8045.2722449
9716,8066.88289529,1523922000,8066.88289546,8040.4686708,8050,1.10199608,8871.53266654,8050.42125607
9717,8051,1523922300,8067.47292991,8050.00000002,8050.00000002,0.66019749,5324.09406202,8064.39609763
9718,8052,1523922600,8058.93963309,8051,8058.93963309,0.64358914,5185.00598217,8056.39135267
9719,8060,1523922900,8067,8052,8052,3.2079776,25863.33963406,8062.19458454
9720,8052.01700835,1523923200,8060,8052,8060,1.09460939,8820.73323301,8058.3387221
9721,8021.66453149,1523923500,8060,8019.98398367,8060,1.21336784,9762.53610138,8045.81741789
9722,8026,1523923800,8029.98299165,8016.96832855,8020.05201743,0.89786981,7204.26682646,8023.73211152
9723,8035.58044561,1523924100,8044.78082026,8017.98201798,8029.9659833,0.1830727,1470.80408917,8033.98917029
9724,8032.56998794,1523924400,8050.98237812,8031.5,8044.78082026,0.71070285,5717.62925183,8045.03492821
9725,8045.69938935,1523924700,8054.31042662,8035.62138427,8044.68237778,0.77144741,6206.68354337,8045.50441536
9726,8051,1523925000,8060,8045.68237811,8054.79999999,0.92704417,7463.10261988,8050.42829823
9727,8045.71639845,1523925300,8059.58237809,8045.68237811,8055.69999543,0.54294254,4371.71570846,8051.89386792
9728,8045.68237811,1523925600,8051,8045.68237811,8051,4.07446955,32802.75248799,8050.80319915
9729,8045.68237811,1523925900,8051,8045.68237811,8051,0.83719239,6739.57536627,8050.21097513
9730,8044.68237745,1523926200,8051,8044.68237745,8045.68237811,0.8041831,6470.83115434,8046.46498334
9731,8044.68237818,1523926500,8051,8044.68237745,8049,0.40158635,3231.03394008,8045.67670212
9732,8050.94896917,1523926800,8051,8044.68237745,8044.68237745,1.29599826,10426.97052554,8045.51275057
9733,8051.11206247,1523927100,8060,8045.20000051,8045.20000051,2.24023397,18044.65005001,8054.80601207
9734,8057.21331232,1523927400,8068.69999999,8051.12943909,8060,1.29234723,10424.16994489,8066.07520247
9735,8071,1523927700,8072.17368378,8068.99999999,8069,2.21455947,17872.15765934,8070.29926333
9736,8060.06268293,1523928000,8072.17368378,8060.06268293,8060.10279253,1.02872254,8295.90670749,8064.28009975
9737,8058.82860763,1523928300,8069.3157726,8058.82860763,8060.06268293,2.2359009,18020.03367422,8059.40624391
9738,8057.08505042,1523928600,8071.63076497,8056.72618062,8060.08298876,6.12146041,49383.88053181,8067.33642369
9739,8041.75237811,1523928900,8058,8041.75237811,8058,6.04958969,48726.10635788,8054.44812867
9740,8026.01701124,1523929200,8044.66536621,8013.12356338,8044.66536621,3.80276351,30544.29591942,8032.13132741
9741,8022.63872229,1523929500,8039.56080119,8021.90150457,8035.5409976,0.98235543,7891.86842516,8033.61816319
9742,8037.97455059,1523929800,8038.35874996,8025.88428345,8025.88449322,0.87369897,7022.12573548,8037.23705372
9743,8035.95681987,1523930100,8037.94053401,8023.88878065,8030.02557583,1.53010878,12298.25586592,8037.50427857
9744,8025,1523930400,8040,8025,8035.95681987,0.43428147,3489.67987747,8035.52561768
9745,8033.95681987,1523930700,8038.79999987,8024.05924696,8038.79999987,3.25885946,26175.35174321,8032.05908831
9746,8038.59999995,1523931000,8040,8021.38449322,8037.5999975,2.40918757,19359.09004381,8035.52628482
9747,8000,1523931300,8038.5999999,8000,8033.79999997,8.21941988,65845.05531279,8010.91272548
9748,7979.88175009,1523931600,8016.76199348,7960.404215,8011.48299083,9.11194944,72814.5536826,7991.10598254
9749,7972.59761539,1523931900,7999.93123014,7972.59761539,7980.05405736,1.38735708,11084.91630931,7989.95187981
9750,7974.94484865,1523932200,7998.46561504,7972.91499352,7998.46561504,1.25141562,9982.02323151,7976.58513445
9751,7986.0766767,1523932500,7998,7976.34484767,7976.34484767,3.98365736,31827.36976567,7989.48475972
9752,8000.44313162,1523932800,8006.2222166,7991.34484479,7997.91458774,1.71274195,13700.41098861,7999.10984174
9753,8001.07319696,1523933100,8015.14507296,8001.0561886,8015.14507296,0.08475266,679.06505164,8012.31550313
9754,8018,1523933400,8021.59564265,8005.93917734,8014.99467244,0.40845918,3273.76760306,8014.91988272
9755,8038.43123013,1523933700,8038.98299149,8018,8021.56162595,0.98099794,7877.79804639,8030.39203771
9756,8023.45976913,1523934000,8039,8023.45976913,8038.98299108,0.34008167,2731.2080285,8031.0356877
9757,8026.58957316,1523934300,8037.05535339,8023.62986428,8023.62986428,4.26809489,34273.82538528,8030.23978346
9758,8034.98299165,1523934600,8036.54264917,8023.47677749,8036.54264917,0.25058474,2011.20452108,8026.04548499
9759,8022.25945057,1523934900,8034.99999986,8022.25945057,8034.99999986,0.30245429,2429.90227225,8033.94877373
9760,8032.93195986,1523935200,8033.53237599,8008.18845854,8022.15740042,0.21475796,1722.88413578,8022.44599352
9761,8030.3999999,1523935500,8031.88963948,8011.05102509,8031.88963948,0.14435337,1159.2806594,8030.85275673
9762,8029.99176273,1523935800,8030.14484739,8012,8012,0.45053197,3617.33423145,8029.02895316
9763,8027.15505331,1523936100,8031,8020.2441142,8031,2.37564383,19078.17357586,8030.73816661
9764,8016.06999999,1523936400,8030.98999999,8016.06999999,8020.36391493,1.83130326,14696.47373716,8025.144747
9765,8023.00000018,1523936700,8031,8018,8027.49999942,1.21599713,9761.18802399,8027.31172892
9766,8030.99999483,1523937000,8031,8018.27221086,8023.00000029,0.55583445,4463.76080974,8030.73794677
9767,8031.05505331,1523937300,8031.05505331,8019.04240127,8030.9999946,2.03005129,16297.24735468,8027.99783185
9768,8031.02103081,1523937600,8031.05505331,8018.75103087,8024.95307688,3.16281289,25397.31411988,8029.97679697
9769,8031.05505331,1523937900,8031.05505331,8020.01701124,8031.05505331,4.54232368,36478.94895675,8030.90037756
9770,8014,1523938200,8034.59999999,8014,8031.0550533,4.12198413,33083.12942885,8026.02057297
9771,8001.01700835,1523938500,8024.43669404,8000.23464715,8024.43669404,1.34614886,10773.89004511,8003.4908213
9772,8006.03401977,1523938800,8023.38298874,8002.01737671,8018.9999971,0.42611266,3417.08594332,8019.20774502
9773,8009,1523939100,8015.9186919,8001.01700835,8003.15381804,0.43815073,3509.60372628,8010.03738208
9774,8001,1523939400,8009,8000.23464715,8001.01702477,1.17092193,9376.47553946,8007.77173886
9775,8002.1371784,1523939700,8009,8001,8009,0.23401313,1873.22006086,8004.76477905
9776,8011.16840545,1523940000,8024.12561166,8002.17156322,8009,0.28059999,2247.65216141,8010.16479513
9777,8011.0340196,1523940300,8021.66524666,8011.0340196,8011.9,0.80197991,6425.82913075,8012.45648504
9778,8034.67196408,1523940600,8034.72783582,8021.07668036,8021.07668036,0.33110691,2658.7829339,8029.98322778
9779,8011.12016898,1523940900,8034.54196416,8011.12016897,8034.54196416,1.01286799,8132.48392978,8029.16471847
9780,8011.98299159,1523941200,8023,8011.0340196,8023,0.6504174,5211.56787129,8012.65137018
9781,8009.27595423,1523941500,8025.99999995,8002,8014.59999999,1.84029831,14748.47644824,8014.17703211
9782,8009.20791502,1523941800,8009.27595423,8000.23464715,8002.05102824,0.51952512,4157.42173628,8002.3497926
9783,8005.7250181,1523942100,8023.34524627,7994.40136496,8000.23464715,0.85306298,6824.99859965,8000.57998021
9784,8007.01700835,1523942400,8025.68299148,8006.42782267,8009.27595423,0.36656889,2941.2001371,8023.59452028
9785,8003.23803459,1523942700,8020.59794785,8003.23803459,8020.59794785,6.31501697,50581.66998336,8009.74411053
9786,8006.9968389,1523943000,8009.78712414,7972.00000002,8009.78712414,11.24821428,89840.12929607,7987.05706165
9787,7999.76075928,1523943300,7999.96561507,7972.00000002,7999.96561506,5.34423712,42658.1317491,7982.08065833
9788,7988.24834441,1523943600,7999.81179053,7982.96329683,7982.96329683,0.54663127,4369.14226156,7992.8509424
9789,7998.8,1523943900,8003.06210232,7988,7999.0423015,1.40639336,11248.24351993,7997.93559885
9790,8002.2,1523944200,8003.04178572,7989,7998.8,1.73000603,13827.29004153,7992.6253445
9791,7980,1523944500,8000,7980,7991.98262312,1.46533992,11704.60619493,7987.6389329
9792,7988.36098421,1523944800,7988.39573816,7950,7984.49573704,7.388381,58926.74519213,7975.5964388
9793,7977.42299457,1523945100,7995.09999999,7974.4797172,7978.00000002,0.72524814,5794.31026078,7989.41760924
9794,7974.56513618,1523945400,7992.49999985,7970,7977.42299457,3.57241697,28488.74221948,7974.64082684
9795,8009.99999749,1523945700,8011.44692374,7982.81469362,7983,10.43057515,83414.97551772,7997.15972687
